LeadID,DateAdded,ZipCode,LoanPurpose,LeadSourceGroup,LoanNumber,TotalLoanAmount,BorrowerAge,BorrowerYearsInSchool,BorrowerTotalMonthlyIncome,CoBorrowerTotalMonthlyIncome,BorrowerOwnRent,CreditScore,CLTV,DTI,FundingDate,RateLockDate,BorrowerGender
465262,22-10-19 9:31,76148,Home Equity/Cash Back Refi,Internet,41011914145,196000,34,16,5350.8,2523.73,Own,670,95.6,35,,01-11-19,Male
466202,28-10-19 10:47,76034,Refinance,Radio,41011914169,296000,42,15,10924.26,0,Own,733,80,39,,25-10-19,Male
415376,15-06-19 11:05,75234,Refinance,Referral,41011914183,260000,38,14,10000,0,Own,773,78.78,31,,25-10-19,Male
465863,25-10-19 12:32,75218,Home Equity/Cash Back Refi,Radio,41011914229,480000,52,24,7500,0,Own,764,53.33,63,,28-10-19,Female
466063,28-10-19 8:59,75116,Home Equity/Cash Back Refi,Radio,41011914237,110000,46,16,5000,0,Own,699,68.75,45,,30-10-19,Female
466267,28-10-19 14:41,76020,Home Equity/Cash Back Refi,TV,41011914276,208000,53,16,6667,0,Own,679,80,44,23-12-19,15-11-19,Male
454067,09-09-19 17:53,76932,Home Equity/Cash Back Refi,Internet,41011914446,120000,56,12,7666,2500,Own,690,80,39,,31-10-19,Male
463890,14-10-19 9:19,75238,Home Equity/Cash Back Refi,Internet,41011914463,424000,36,15,16666.66,0,Own,664,80,36,,21-11-19,Male
466397,29-10-19 10:08,75070,Home Equity/Cash Back Refi,Internet,41011914474,224000,39,16,7468,0,Own,804,80,32,,04-11-19,Male
467035,01-11-19 14:47,77517,Refinance,Radio,41011914572,271850,34,17,9875,4615.38,Own,804,73.47,15,,04-11-19,Male
466938,01-11-19 7:57,75173,Refinance,Referral,41011914623,116250,44,16,9020.23,0,Own,646,75,21,31-12-19,05-11-19,Male
464859,21-10-19 8:40,75158,Home Equity/Cash Back Refi,Internet,41011914644,126000,30,15,6053.16,722,Own,674,70,33,,04-11-19,Male
467514,05-11-19 8:41,76134,Refinance,Internet,41011914702,70000,49,14,4282.4,0,Own,649,42.42,28,11-12-19,05-11-19,Male
467483,04-11-19 17:04,77006,Refinance,Internet,41011914703,170000,77,16,11165.28,0,Own,671,43.58,20,17-12-19,05-11-19,Male
467584,05-11-19 10:03,76131,Refinance,Internet,41011914709,91000,54,14,1879.44,0,Own,695,43.33,53,,06-12-19,Male
466987,01-11-19 11:14,77590,Refinance,Radio,41011914724,80000,60,15,9462,0,Own,805,54.79,26,17-12-19,05-11-19,Male
466456,29-10-19 13:04,75034,Home Equity/Cash Back Refi,TV,41011914754,640000,47,16,15043.35,0,Own,739,80,42,27-01-20,08-01-20,Male
466454,29-10-19 13:02,77386,Home Equity/Cash Back Refi,Repeat Client,41011914835,144200,49,14,6776.67,0,Own,555,70,36,,06-12-19,Female
467715,05-11-19 18:45,76071,Refinance,Internet,41011914860,98000,46,20,6328.45,0,Own,660,70,37,24-12-19,06-11-19,Male
466802,31-10-19 11:34,78041,Refinance,Referral,41011914861,286600,37,14,3959,6618,Own,753,67.43,40,11-12-19,06-11-19,Male
467380,04-11-19 14:41,75126,Refinance,Radio,41011914891,448980,44,16,19166.67,0,Own,789,86.34,23,26-12-19,08-11-19,Male
467826,06-11-19 11:40,78006,Home Equity/Cash Back Refi,Internet,41011914917,200000,69,15,8437.23,0,Own,728,80,48,,07-11-19,Male
468207,08-11-19 9:58,75189,Refinance,TV,41011914965,212250,48,16,5852.67,0,Own,655,75,44,23-12-19,08-11-19,Male
468244,08-11-19 12:21,76571,Home Equity/Cash Back Refi,Internet,41011915015,156000,59,12,3350.53,1480,Own,672,80,48,,12-11-19,Female
468212,08-11-19 10:15,78006,Refinance,Internet,41011915054,296000,53,15,12610,5444,Own,749,80,21,,13-11-19,Male
466200,28-10-19 10:48,76449,Home Equity/Cash Back Refi,Internet,41011915064,200000,57,15,837.93,5400,Own,658,38.46,72,,04-12-19,Male
468559,11-11-19 11:18,76457,Refinance,Internet,41011915083,128000,27,18,4810,0,Own,753,80,29,31-12-19,12-11-19,Male
466487,29-10-19 14:57,77605,Refinance,Repeat Client,41011915084,224275,48,18,9663.11,0,Own,803,52.4,31,30-12-19,12-11-19,Female
475352,02-01-20 10:57,75071,Refinance,Internet,4101200451,125767,42,17,7583.33,0,Own,661,56.39,20,,09-01-20,Male
476669,10-01-20 10:50,76123,Refinance,Radio,4101200476,331804,35,12,8938.46,0,Own,691,90.83,55,18-02-20,17-01-20,Male
476407,09-01-20 8:29,76065,Refinance,Radio,4101200519,285663,41,16,8305,3744,Own,627,85.85,35,13-02-20,13-01-20,Male
468631,11-11-19 16:55,75218,Refinance,Repeat Client,4101200555,143315,52,16,8150.13,5416.66,Own,752,45.49,23,19-02-20,10-01-20,Male
476373,08-01-20 17:04,78665,Refinance,Internet,4101200556,285500,43,16,8333.32,5185,Own,754,76.13,25,20-02-20,23-01-20,Male
476788,11-01-20 10:25,75249,Refinance,Internet,4101200590,181600,39,14,0,8302.8,Own,782,67.25,32,18-02-20,13-01-20,Female
476797,11-01-20 11:02,75098,Home Equity/Cash Back Refi,Radio,4101200593,209600,56,16,6416.67,5537.5,Own,720,80,32,,13-01-20,Male
476878,13-01-20 8:29,77583,Refinance,TV,4101200624,243869,59,23,12321.5,0,Own,611,72.4,50,,15-01-20,Female
476463,09-01-20 10:11,76210,Refinance,Radio,4101200625,254467.08,30,16,5828,0,Own,786,93.11,40,,15-01-20,Male
465843,25-10-19 10:48,77426,Home Equity/Cash Back Refi,TV,4101200632,226760,54,17,3094,0,Own,0,77.52,72,,14-01-20,Female
476268,08-01-20 9:58,75087,Refinance,TV,4101200671,350000,64,16,13581.5,0,Own,658,77.77,43,,21-01-20,Male
477164,14-01-20 8:03,76262,Refinance,Internet,4101200727,500780,29,18,15833.33,0,Own,763,88.63,25,13-02-20,15-01-20,Male
477212,14-01-20 9:42,77386,Home Equity/Cash Back Refi,Internet,4101200729,176000,52,13,8554,0,Own,731,66.92,29,13-04-20,17-01-20,Male
476679,10-01-20 11:54,75154,Home Equity/Cash Back Refi,Internet,4101200746,100000,82,13,1956.25,1331.25,Own,743,71.42,48,,14-01-20,Male
472653,09-12-19 13:43,77373,Home Equity/Cash Back Refi,Internet,4101200773,118000,49,16,4864,0,Own,737,80,39,28-02-20,21-01-20,Male
477031,13-01-20 10:47,75067,Refinance,TV,4101200856,264000,60,16,3787.25,3596.67,Own,768,80,40,06-02-20,16-01-20,Male
477003,13-01-20 8:38,76063,Home Equity/Cash Back Refi,Internet,4101200888,70000,46,14,0,5089,Own,764,26.41,28,10-02-20,16-01-20,Not Furnished but Male best guess
476616,10-01-20 8:08,76086,Refinance,TV,4101200918,133000,57,12,5200,0,Own,783,70,44,,16-01-20,Not Furnished but Male best guess
477735,17-01-20 8:03,76262,Refinance,Internet,4101200976,488284,42,14,0,0,Own,620,100,,29-04-20,25-03-20,Male
476808,11-01-20 11:41,76135,Home Equity/Cash Back Refi,Internet,4101200994,70000,67,18,2101.04,0,Own,709,23.72,51,,17-01-20,Female
470385,22-11-19 15:33,75070,Refinance,Internet,4101200998,300000,62,16,6723.4,0,Own,696,94.93,56,,21-01-20,Male
504834,07-04-20 18:15,77423,Refinance,Internet,41012010032,228200,42,18,5553.53,0,Own,755,86.11,48,,15-07-20,Male
542615,21-05-20 9:34,76226,Refinance,Internet,41012010033,245000,58,16,20107.83,0,Own,711,60.49,22,15-07-20,26-05-20,Male
541418,18-05-20 8:01,77584,Refinance,Internet,41012010047,251621,31,16,13400.01,0,Own,782,83.87,22,,21-05-20,Male
542267,20-05-20 9:29,77379,Refinance,Internet,41012010058,256000,65,16,10500,0,Own,813,64.97,33,17-07-20,21-05-20,Male
542576,21-05-20 8:11,76034,Refinance,Internet,41012010064,348000,48,16,16666.67,0,Own,780,58,22,22-06-20,21-05-20,Male
542717,21-05-20 13:29,75071,Refinance,Internet,41012010099,340000,54,16,10000,0,Own,818,79.06,32,,26-05-20,Male
542886,22-05-20 8:38,76021,Home Equity/Cash Back Refi,Internet,41012010107,110000,60,13,10525.46,0,Own,629,37.41,18,30-06-20,22-05-20,Female
542859,22-05-20 8:24,76234,Home Equity/Cash Back Refi,Internet,41012010118,256000,54,16,3529.06,0,Own,800,80,43,14-08-20,29-06-20,Male
542956,22-05-20 10:11,75087,Refinance,TV,41012010121,433850,61,18,18655,0,Own,723,70.54,17,29-07-20,29-05-20,Male
542412,20-05-20 14:46,75002,Refinance,Internet,41012010123,352000,46,16,0,19488.87,Own,798,80,17,30-06-20,22-05-20,Female
541965,19-05-20 11:26,77377,Refinance,Internet,41012010127,182500,45,16,6333.6,9383.47,Own,800,50.69,17,10-07-20,22-05-20,Male
542982,22-05-20 11:18,76039,Refinance,TV,41012010135,170265,56,16,7842.73,0,Own,818,58.91,22,28-07-20,22-05-20,Male
